% f evaluations | g evaluations | best noise-free fitness - Fopt (3.590000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
123 0 +5.055339512e+04 +5.058424512e+04 +5.058424512e+04 +1.1171e+00 +2.1285e+00 -1.2684e+00 -2.2807e-01 +1.6898e-01 -4.4660e+00 -9.6696e-01 +1.9303e+00 +7.6861e-01 -2.3704e+00
126 0 +4.107918456e+04 +4.111003456e+04 +4.111003456e+04 +1.1718e+00 -1.4670e+00 -9.3199e-01 -2.5622e+00 +7.4257e-01 -4.0399e+00 -1.7179e+00 +2.6078e+00 +9.0179e-01 -2.8097e+00
562 0 +3.523342904e+04 +3.526427904e+04 +3.526427904e+04 +3.1971e+00 +8.4345e-01 -3.8358e+00 +2.4745e+00 +1.1652e+00 +1.3493e+00 -2.4207e+00 +3.5555e+00 -6.0781e-01 -4.7742e+00
567 0 +1.713892019e+04 +1.716977019e+04 +1.716977019e+04 +8.8280e-01 +1.9227e+00 -2.1760e+00 +8.7109e-01 +1.3942e+00 +5.4295e-01 -3.5097e+00 +1.8919e+00 -6.6333e-01 -4.7027e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.255000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.876913922e+05 +5.876788422e+05 +5.876788422e+05 -6.0609e-01 +5.5623e-01 -4.7008e-01 -6.6493e-01 +1.1176e+00 +1.1798e+00 +5.7008e-01 +8.1782e-02 +2.4710e-02 -1.9650e-01
2 0 +5.799861229e+05 +5.799735729e+05 +5.799735729e+05 -6.0631e-01 -1.1024e+00 +1.3417e+00 +3.3744e-01 -8.1720e-01 +3.0512e-01 +1.0753e+00 +1.1014e+00 +1.4225e+00 -7.8190e-01
7 0 +5.442789556e+05 +5.442664056e+05 +5.442664056e+05 -1.9428e-01 -1.1465e-01 +2.2746e+00 -7.3968e-01 +1.3907e+00 -6.7222e-01 +4.6119e-01 -5.1875e-01 +1.0953e-01 -7.2084e-01
8 0 +2.448342548e+05 +2.448217048e+05 +2.448217048e+05 +1.6054e+00 -6.7029e-01 -1.9850e-01 +9.0601e-01 +7.2273e-01 -3.5870e-01 -8.2590e-01 -1.6318e+00 +7.7686e-01 -1.1047e+00
75 0 +2.102301455e+05 +2.102175955e+05 +2.102175955e+05 +4.1496e+00 -1.8006e-01 +1.2357e+00 +5.5922e-01 +1.3216e+00 +2.3245e+00 +1.1492e+00 -1.5574e+00 +2.5341e+00 -2.6373e+00
80 0 +1.837165203e+05 +1.837039703e+05 +1.837039703e+05 +2.7518e+00 -1.1215e+00 +2.2876e-01 +1.2898e+00 +2.4653e+00 +1.2222e+00 +8.4988e-01 -2.2395e+00 +1.6686e+00 -2.3391e+00
146 0 +1.357555853e+05 +1.357430353e+05 +1.357430353e+05 +2.5265e+00 -1.2273e-02 -1.1114e+00 +1.6973e+00 +1.9250e+00 -2.0626e+00 -1.3617e+00 -7.3048e-01 +1.0710e+00 +1.3837e+00
